game_1|Michigan State
game_2|Memphis
game_3|Davidson
game_4|Long Beach State
game_5|Marquette
game_6|Colorado State
game_7|Florida
game_8|Norfolk State
game_9|Miss Vall St/Western Ky
game_10|Connecticut
game_11|Indiana
game_12|VCU
game_13|South Dakota State
game_14|Colorado
game_15|Notre Dame
game_16|Lehigh
game_17|North Carolina
game_18|Alabama
game_19|Michigan
game_20|California/South Florida
game_21|Georgetown
game_22|San Diego State
game_23|Purdue
game_24|Detroit
game_25|UNC Asheville
game_26|Kansas State
game_27|Montana
game_28|Harvard
game_29|Florida State
game_30|Texas
game_31|Gonzaga
game_32|Ohio State
game_33|Memphis
game_34|Davidson
game_35|Colorado State
game_36|Florida
game_37|Miss Vall St/Western Ky
game_38|VCU
game_39|Colorado
game_40|Notre Dame
game_41|North Carolina
game_42|Michigan
game_43|San Diego State
game_44|Detroit
game_45|Kansas State
game_46|Harvard
game_47|Florida State
game_48|Ohio State
game_49|Davidson
game_50|Florida
game_51|VCU
game_52|Notre Dame
game_53|Michigan
game_54|San Diego State
game_55|Harvard
game_56|Ohio State
game_57|Davidson
game_58|VCU
game_59|Michigan
game_60|Harvard
game_61|Davidson
game_62|Michigan
game_63|Michigan
name|Dominik the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
