game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Marquette
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Creighton
game_37|Pittsburgh
game_38|Kansas State
game_39|Harvard
game_40|Iowa State
game_41|Western Kentucky
game_42|Akron
game_43|Florida
game_44|Georgetown
game_45|LIU/James Madison
game_46|California
game_47|Bucknell
game_48|Colorado
game_49|Oregon
game_50|Creighton
game_51|Pittsburgh
game_52|Iowa State
game_53|Akron
game_54|Georgetown
game_55|California
game_56|Bucknell
game_57|Creighton
game_58|Pittsburgh
game_59|Akron
game_60|California
game_61|Pittsburgh
game_62|California
game_63|California
name|Madeleine the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
