game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Valparaiso
game_36|Creighton
game_37|Pittsburgh
game_38|Ole Miss
game_39|Arizona
game_40|Iona
game_41|Western Kentucky
game_42|Akron
game_43|Florida
game_44|Georgetown
game_45|LIU/James Madison
game_46|California
game_47|Marquette
game_48|Colorado
game_49|Colorado State
game_50|Creighton
game_51|Ole Miss
game_52|Iona
game_53|Western Kentucky
game_54|Georgetown
game_55|LIU/James Madison
game_56|Colorado
game_57|Creighton
game_58|Iona
game_59|Georgetown
game_60|LIU/James Madison
game_61|Iona
game_62|Georgetown
game_63|Iona
name|Delia the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
