game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Creighton
game_37|Southern
game_38|Wisconsin
game_39|Harvard
game_40|Ohio State
game_41|Villanova
game_42|VCU
game_43|Northwestern State
game_44|Florida GC
game_45|Temple
game_46|UNLV
game_47|Bucknell
game_48|Illinois
game_49|Oregon
game_50|Creighton
game_51|Southern
game_52|Ohio State
game_53|Villanova
game_54|Florida GC
game_55|Temple
game_56|Illinois
game_57|Oregon
game_58|Ohio State
game_59|Villanova
game_60|Illinois
game_61|Oregon
game_62|Illinois
game_63|Oregon
name|Deven the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
