game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Pacific
game_33|NC A&T/Liberty
game_34|Oklahoma State
game_35|Valparaiso
game_36|Duke
game_37|Wichita State
game_38|Ole Miss
game_39|New Mexico
game_40|Ohio State
game_41|North Carolina
game_42|South Dakota State
game_43|Florida
game_44|Georgetown
game_45|NC State
game_46|California
game_47|Butler
game_48|Illinois
game_49|NC A&T/Liberty
game_50|Duke
game_51|Wichita State
game_52|New Mexico
game_53|South Dakota State
game_54|Georgetown
game_55|NC State
game_56|Butler
game_57|Duke
game_58|Wichita State
game_59|South Dakota State
game_60|NC State
game_61|Duke
game_62|South Dakota State
game_63|Duke
name|Heidi the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
