game_1|LIU Brooklyn
game_2|Saint Louis
game_3|Louisville
game_4|Long Beach State
game_5|Marquette
game_6|Colorado State
game_7|Florida
game_8|Missouri
game_9|Miss Vall St/Western Ky
game_10|Iowa State
game_11|Indiana
game_12|Wichita State
game_13|South Dakota State
game_14|UNLV
game_15|Notre Dame
game_16|Lehigh
game_17|Lamar/Vermont
game_18|Creighton
game_19|Michigan
game_20|California/South Florida
game_21|Georgetown
game_22|NC State
game_23|Purdue
game_24|Detroit
game_25|Syracuse
game_26|Kansas State
game_27|Montana
game_28|Vanderbilt
game_29|Florida State
game_30|Cincinnati
game_31|Gonzaga
game_32|Ohio State
game_33|Saint Louis
game_34|Long Beach State
game_35|Colorado State
game_36|Florida
game_37|Miss Vall St/Western Ky
game_38|Wichita State
game_39|South Dakota State
game_40|Notre Dame
game_41|Lamar/Vermont
game_42|Michigan
game_43|NC State
game_44|Purdue
game_45|Syracuse
game_46|Montana
game_47|Florida State
game_48|Gonzaga
game_49|Saint Louis
game_50|Florida
game_51|Wichita State
game_52|Notre Dame
game_53|Lamar/Vermont
game_54|Purdue
game_55|Syracuse
game_56|Florida State
game_57|Florida
game_58|Notre Dame
game_59|Lamar/Vermont
game_60|Syracuse
game_61|Notre Dame
game_62|Lamar/Vermont
game_63|Lamar/Vermont
name|Josh the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
