game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Missouri
game_34|Oregon
game_35|Michigan State
game_36|Duke
game_37|Pittsburgh
game_38|Boise State/La Salle
game_39|Arizona
game_40|Notre Dame
game_41|Kansas
game_42|VCU
game_43|UCLA
game_44|Georgetown
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Colorado
game_49|Missouri
game_50|Michigan State
game_51|Pittsburgh
game_52|Notre Dame
game_53|Kansas
game_54|UCLA
game_55|LIU/James Madison
game_56|Butler
game_57|Michigan State
game_58|Pittsburgh
game_59|UCLA
game_60|Butler
game_61|Pittsburgh
game_62|Butler
game_63|Pittsburgh
name|Draven the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
