game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Cincinnati
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Missouri
game_34|Saint Louis
game_35|Michigan State
game_36|Albany
game_37|Wichita State
game_38|Ole Miss
game_39|Harvard
game_40|Iona
game_41|Western Kentucky
game_42|Michigan
game_43|UCLA
game_44|Georgetown
game_45|LIU/James Madison
game_46|UNLV
game_47|Davidson
game_48|Colorado
game_49|Missouri
game_50|Michigan State
game_51|Wichita State
game_52|Harvard
game_53|Western Kentucky
game_54|Georgetown
game_55|UNLV
game_56|Davidson
game_57|Missouri
game_58|Wichita State
game_59|Western Kentucky
game_60|UNLV
game_61|Missouri
game_62|UNLV
game_63|Missouri
name|Amir the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
