game_1|LIU Brooklyn
game_2|Memphis
game_3|Davidson
game_4|New Mexico
game_5|BYU/Iona
game_6|Colorado State
game_7|Virginia
game_8|Norfolk State
game_9|Miss Vall St/Western Ky
game_10|Connecticut
game_11|New Mexico State
game_12|VCU
game_13|South Dakota State
game_14|UNLV
game_15|Notre Dame
game_16|Duke
game_17|North Carolina
game_18|Creighton
game_19|Ohio
game_20|California/South Florida
game_21|Belmont
game_22|NC State
game_23|Saint Marys
game_24|Detroit
game_25|Syracuse
game_26|Kansas State
game_27|Montana
game_28|Vanderbilt
game_29|Florida State
game_30|Cincinnati
game_31|West Virginia
game_32|Loyola Maryland
game_33|Memphis
game_34|New Mexico
game_35|BYU/Iona
game_36|Virginia
game_37|Miss Vall St/Western Ky
game_38|New Mexico State
game_39|South Dakota State
game_40|Notre Dame
game_41|Creighton
game_42|Ohio
game_43|Belmont
game_44|Detroit
game_45|Kansas State
game_46|Montana
game_47|Florida State
game_48|West Virginia
game_49|Memphis
game_50|Virginia
game_51|Miss Vall St/Western Ky
game_52|South Dakota State
game_53|Creighton
game_54|Belmont
game_55|Montana
game_56|Florida State
game_57|Memphis
game_58|Miss Vall St/Western Ky
game_59|Belmont
game_60|Montana
game_61|Miss Vall St/Western Ky
game_62|Belmont
game_63|Belmont
name|Ariel the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
