game_1|LIU Brooklyn
game_2|Saint Louis
game_3|Davidson
game_4|Long Beach State
game_5|Marquette
game_6|Murray State
game_7|Virginia
game_8|Missouri
game_9|Kentucky
game_10|Connecticut
game_11|Indiana
game_12|VCU
game_13|Baylor
game_14|UNLV
game_15|Notre Dame
game_16|Lehigh
game_17|Lamar/Vermont
game_18|Alabama
game_19|Ohio
game_20|California/South Florida
game_21|Belmont
game_22|NC State
game_23|Purdue
game_24|Kansas
game_25|Syracuse
game_26|Kansas State
game_27|Wisconsin
game_28|Vanderbilt
game_29|Florida State
game_30|Cincinnati
game_31|West Virginia
game_32|Loyola Maryland
game_33|Saint Louis
game_34|Davidson
game_35|Murray State
game_36|Virginia
game_37|Kentucky
game_38|VCU
game_39|UNLV
game_40|Lehigh
game_41|Alabama
game_42|California/South Florida
game_43|Belmont
game_44|Kansas
game_45|Syracuse
game_46|Vanderbilt
game_47|Florida State
game_48|Loyola Maryland
game_49|Saint Louis
game_50|Murray State
game_51|VCU
game_52|Lehigh
game_53|California/South Florida
game_54|Kansas
game_55|Vanderbilt
game_56|Loyola Maryland
game_57|Saint Louis
game_58|VCU
game_59|California/South Florida
game_60|Loyola Maryland
game_61|VCU
game_62|California/South Florida
game_63|VCU
name|Frederick the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
