game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|New Mexico State
game_35|Memphis
game_36|Creighton
game_37|Southern
game_38|Kansas State
game_39|Belmont
game_40|Iona
game_41|North Carolina
game_42|Akron
game_43|Northwestern State
game_44|Oklahoma
game_45|NC State
game_46|Syracuse
game_47|Bucknell
game_48|Colorado
game_49|New Mexico State
game_50|Creighton
game_51|Kansas State
game_52|Iona
game_53|Akron
game_54|Northwestern State
game_55|NC State
game_56|Colorado
game_57|Creighton
game_58|Iona
game_59|Northwestern State
game_60|NC State
game_61|Creighton
game_62|NC State
game_63|NC State
name|Bryan the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
