game_1|Michigan State
game_2|Memphis
game_3|Louisville
game_4|Long Beach State
game_5|Marquette
game_6|Colorado State
game_7|Florida
game_8|Norfolk State
game_9|Miss Vall St/Western Ky
game_10|Connecticut
game_11|New Mexico State
game_12|Wichita State
game_13|South Dakota State
game_14|UNLV
game_15|Xavier
game_16|Duke
game_17|North Carolina
game_18|Alabama
game_19|Ohio
game_20|California/South Florida
game_21|Georgetown
game_22|San Diego State
game_23|Saint Marys
game_24|Detroit
game_25|UNC Asheville
game_26|Kansas State
game_27|Wisconsin
game_28|Harvard
game_29|St Bonaventure
game_30|Texas
game_31|West Virginia
game_32|Loyola Maryland
game_33|Memphis
game_34|Long Beach State
game_35|Colorado State
game_36|Norfolk State
game_37|Miss Vall St/Western Ky
game_38|New Mexico State
game_39|South Dakota State
game_40|Duke
game_41|Alabama
game_42|Ohio
game_43|Georgetown
game_44|Saint Marys
game_45|UNC Asheville
game_46|Harvard
game_47|St Bonaventure
game_48|Loyola Maryland
game_49|Memphis
game_50|Colorado State
game_51|Miss Vall St/Western Ky
game_52|South Dakota State
game_53|Alabama
game_54|Georgetown
game_55|Harvard
game_56|Loyola Maryland
game_57|Colorado State
game_58|South Dakota State
game_59|Georgetown
game_60|Harvard
game_61|South Dakota State
game_62|Georgetown
game_63|South Dakota State
name|Zayne the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
