game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|California
game_29|Marquette
game_30|Butler
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Duke
game_37|Pittsburgh
game_38|Boise State/La Salle
game_39|Arizona
game_40|Iona
game_41|Western Kentucky
game_42|VCU
game_43|Minnesota
game_44|Georgetown
game_45|Temple
game_46|California
game_47|Butler
game_48|Pacific
game_49|Colorado State
game_50|Duke
game_51|Pittsburgh
game_52|Iona
game_53|VCU
game_54|Minnesota
game_55|California
game_56|Butler
game_57|Colorado State
game_58|Pittsburgh
game_59|Minnesota
game_60|California
game_61|Colorado State
game_62|California
game_63|Colorado State
name|Tony the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
