game_1|LIU Brooklyn
game_2|Saint Louis
game_3|Louisville
game_4|Long Beach State
game_5|BYU/Iona
game_6|Colorado State
game_7|Virginia
game_8|Norfolk State
game_9|Kentucky
game_10|Connecticut
game_11|Indiana
game_12|VCU
game_13|Baylor
game_14|Colorado
game_15|Xavier
game_16|Duke
game_17|Lamar/Vermont
game_18|Creighton
game_19|Michigan
game_20|Temple
game_21|Georgetown
game_22|San Diego State
game_23|Purdue
game_24|Detroit
game_25|UNC Asheville
game_26|Southern Miss
game_27|Montana
game_28|Vanderbilt
game_29|Florida State
game_30|Texas
game_31|West Virginia
game_32|Ohio State
game_33|Saint Louis
game_34|Long Beach State
game_35|Colorado State
game_36|Virginia
game_37|Connecticut
game_38|VCU
game_39|Baylor
game_40|Duke
game_41|Creighton
game_42|Temple
game_43|Georgetown
game_44|Purdue
game_45|UNC Asheville
game_46|Montana
game_47|Texas
game_48|West Virginia
game_49|Saint Louis
game_50|Virginia
game_51|Connecticut
game_52|Baylor
game_53|Creighton
game_54|Purdue
game_55|Montana
game_56|Texas
game_57|Virginia
game_58|Baylor
game_59|Creighton
game_60|Texas
game_61|Baylor
game_62|Creighton
game_63|Creighton
name|Kiara the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
