game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Oklahoma State
game_35|Memphis
game_36|Creighton
game_37|Gonzaga
game_38|Wisconsin
game_39|New Mexico
game_40|Iowa State
game_41|North Carolina
game_42|Michigan
game_43|Florida
game_44|San Diego State
game_45|NC State
game_46|UNLV
game_47|Marquette
game_48|Colorado
game_49|Colorado State
game_50|Creighton
game_51|Gonzaga
game_52|Iowa State
game_53|Michigan
game_54|San Diego State
game_55|UNLV
game_56|Marquette
game_57|Colorado State
game_58|Gonzaga
game_59|Michigan
game_60|Marquette
game_61|Gonzaga
game_62|Marquette
game_63|Gonzaga
name|Nikki the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
