game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Notre Dame
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oregon
game_35|Memphis
game_36|Duke
game_37|Wichita State
game_38|Wisconsin
game_39|Arizona
game_40|Notre Dame
game_41|Western Kentucky
game_42|VCU
game_43|Northwestern State
game_44|Georgetown
game_45|Temple
game_46|California
game_47|Bucknell
game_48|Pacific
game_49|Colorado State
game_50|Memphis
game_51|Wisconsin
game_52|Notre Dame
game_53|Western Kentucky
game_54|Northwestern State
game_55|Temple
game_56|Bucknell
game_57|Colorado State
game_58|Wisconsin
game_59|Northwestern State
game_60|Temple
game_61|Wisconsin
game_62|Northwestern State
game_63|Wisconsin
name|Deandre the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
