game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Saint Louis
game_35|Memphis
game_36|Duke
game_37|Wichita State
game_38|Kansas State
game_39|New Mexico
game_40|Iowa State
game_41|Western Kentucky
game_42|Akron
game_43|Minnesota
game_44|Oklahoma
game_45|NC State
game_46|Montana
game_47|Bucknell
game_48|Pacific
game_49|Missouri
game_50|Memphis
game_51|Kansas State
game_52|New Mexico
game_53|Western Kentucky
game_54|Oklahoma
game_55|Montana
game_56|Bucknell
game_57|Memphis
game_58|New Mexico
game_59|Western Kentucky
game_60|Montana
game_61|Memphis
game_62|Montana
game_63|Montana
name|Alexis the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
