game_1|LIU Brooklyn
game_2|Memphis
game_3|Louisville
game_4|Long Beach State
game_5|BYU/Iona
game_6|Colorado State
game_7|Virginia
game_8|Missouri
game_9|Kentucky
game_10|Iowa State
game_11|Indiana
game_12|Wichita State
game_13|South Dakota State
game_14|UNLV
game_15|Xavier
game_16|Lehigh
game_17|Lamar/Vermont
game_18|Creighton
game_19|Ohio
game_20|California/South Florida
game_21|Georgetown
game_22|San Diego State
game_23|Saint Marys
game_24|Kansas
game_25|UNC Asheville
game_26|Kansas State
game_27|Montana
game_28|Vanderbilt
game_29|St Bonaventure
game_30|Texas
game_31|Gonzaga
game_32|Ohio State
game_33|Memphis
game_34|Long Beach State
game_35|Colorado State
game_36|Missouri
game_37|Iowa State
game_38|Indiana
game_39|South Dakota State
game_40|Lehigh
game_41|Creighton
game_42|California/South Florida
game_43|San Diego State
game_44|Kansas
game_45|Kansas State
game_46|Vanderbilt
game_47|Texas
game_48|Ohio State
game_49|Long Beach State
game_50|Colorado State
game_51|Iowa State
game_52|Lehigh
game_53|California/South Florida
game_54|Kansas
game_55|Vanderbilt
game_56|Ohio State
game_57|Colorado State
game_58|Iowa State
game_59|California/South Florida
game_60|Ohio State
game_61|Iowa State
game_62|California/South Florida
game_63|Iowa State
name|Kayleigh the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
