game_1|LIU Brooklyn
game_2|Saint Louis
game_3|Louisville
game_4|New Mexico
game_5|Marquette
game_6|Colorado State
game_7|Florida
game_8|Missouri
game_9|Miss Vall St/Western Ky
game_10|Connecticut
game_11|New Mexico State
game_12|Wichita State
game_13|South Dakota State
game_14|Colorado
game_15|Xavier
game_16|Lehigh
game_17|North Carolina
game_18|Creighton
game_19|Ohio
game_20|California/South Florida
game_21|Georgetown
game_22|NC State
game_23|Saint Marys
game_24|Kansas
game_25|Syracuse
game_26|Southern Miss
game_27|Wisconsin
game_28|Vanderbilt
game_29|Florida State
game_30|Texas
game_31|Gonzaga
game_32|Loyola Maryland
game_33|Saint Louis
game_34|Louisville
game_35|Marquette
game_36|Florida
game_37|Connecticut
game_38|New Mexico State
game_39|South Dakota State
game_40|Xavier
game_41|Creighton
game_42|Ohio
game_43|NC State
game_44|Kansas
game_45|Syracuse
game_46|Vanderbilt
game_47|Florida State
game_48|Loyola Maryland
game_49|Louisville
game_50|Marquette
game_51|Connecticut
game_52|Xavier
game_53|Creighton
game_54|NC State
game_55|Vanderbilt
game_56|Loyola Maryland
game_57|Marquette
game_58|Connecticut
game_59|Creighton
game_60|Loyola Maryland
game_61|Connecticut
game_62|Creighton
game_63|Connecticut
name|Makena the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
