game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|Villanova
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Michigan State
game_36|Creighton
game_37|Pittsburgh
game_38|Wisconsin
game_39|Harvard
game_40|Ohio State
game_41|Villanova
game_42|Michigan
game_43|Florida
game_44|Florida GC
game_45|Indiana
game_46|UNLV
game_47|Marquette
game_48|Miami
game_49|Colorado State
game_50|Creighton
game_51|Pittsburgh
game_52|Harvard
game_53|Michigan
game_54|Florida GC
game_55|UNLV
game_56|Marquette
game_57|Colorado State
game_58|Pittsburgh
game_59|Michigan
game_60|Marquette
game_61|Pittsburgh
game_62|Michigan
game_63|Pittsburgh
name|Nash the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
