game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|New Mexico State
game_35|Memphis
game_36|Duke
game_37|Gonzaga
game_38|Ole Miss
game_39|Harvard
game_40|Iona
game_41|North Carolina
game_42|Michigan
game_43|UCLA
game_44|Florida GC
game_45|NC State
game_46|Montana
game_47|Davidson
game_48|Miami
game_49|Colorado State
game_50|Duke
game_51|Gonzaga
game_52|Iona
game_53|North Carolina
game_54|Florida GC
game_55|Montana
game_56|Miami
game_57|Colorado State
game_58|Iona
game_59|North Carolina
game_60|Miami
game_61|Iona
game_62|Miami
game_63|Miami
name|Berenice the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
