game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Pacific
game_33|Colorado State
game_34|Oklahoma State
game_35|Memphis
game_36|Albany
game_37|Wichita State
game_38|Kansas State
game_39|Belmont
game_40|Iona
game_41|North Carolina
game_42|Akron
game_43|Minnesota
game_44|Georgetown
game_45|NC State
game_46|Montana
game_47|Davidson
game_48|Pacific
game_49|Colorado State
game_50|Albany
game_51|Kansas State
game_52|Belmont
game_53|North Carolina
game_54|Georgetown
game_55|NC State
game_56|Davidson
game_57|Colorado State
game_58|Belmont
game_59|Georgetown
game_60|Davidson
game_61|Belmont
game_62|Georgetown
game_63|Georgetown
name|Jarvis the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
