game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Memphis
game_36|Albany
game_37|Wichita State
game_38|Boise State/La Salle
game_39|Harvard
game_40|Iowa State
game_41|Kansas
game_42|South Dakota State
game_43|Florida
game_44|Georgetown
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Miami
game_49|Saint Louis
game_50|Albany
game_51|Boise State/La Salle
game_52|Iowa State
game_53|Kansas
game_54|Georgetown
game_55|LIU/James Madison
game_56|Miami
game_57|Saint Louis
game_58|Iowa State
game_59|Kansas
game_60|LIU/James Madison
game_61|Iowa State
game_62|Kansas
game_63|Iowa State
name|Kian the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
