game_1|Louisville
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Valparaiso
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oklahoma State
game_35|Valparaiso
game_36|Creighton
game_37|Pittsburgh
game_38|Ole Miss
game_39|Arizona
game_40|Iowa State
game_41|North Carolina
game_42|South Dakota State
game_43|Minnesota
game_44|Florida GC
game_45|Indiana
game_46|Montana
game_47|Butler
game_48|Colorado
game_49|Colorado State
game_50|Valparaiso
game_51|Pittsburgh
game_52|Iowa State
game_53|South Dakota State
game_54|Florida GC
game_55|Montana
game_56|Butler
game_57|Valparaiso
game_58|Pittsburgh
game_59|South Dakota State
game_60|Montana
game_61|Valparaiso
game_62|Montana
game_63|Valparaiso
name|Joey the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
