game_1|Michigan State
game_2|Memphis
game_3|Louisville
game_4|New Mexico
game_5|Marquette
game_6|Murray State
game_7|Florida
game_8|Missouri
game_9|Miss Vall St/Western Ky
game_10|Iowa State
game_11|New Mexico State
game_12|Wichita State
game_13|South Dakota State
game_14|UNLV
game_15|Xavier
game_16|Lehigh
game_17|North Carolina
game_18|Alabama
game_19|Michigan
game_20|California/South Florida
game_21|Belmont
game_22|NC State
game_23|Purdue
game_24|Kansas
game_25|UNC Asheville
game_26|Southern Miss
game_27|Wisconsin
game_28|Vanderbilt
game_29|Florida State
game_30|Cincinnati
game_31|Gonzaga
game_32|Loyola Maryland
game_33|Memphis
game_34|New Mexico
game_35|Murray State
game_36|Florida
game_37|Miss Vall St/Western Ky
game_38|Wichita State
game_39|South Dakota State
game_40|Lehigh
game_41|Alabama
game_42|California/South Florida
game_43|NC State
game_44|Kansas
game_45|Southern Miss
game_46|Wisconsin
game_47|Cincinnati
game_48|Gonzaga
game_49|Memphis
game_50|Murray State
game_51|Wichita State
game_52|Lehigh
game_53|Alabama
game_54|Kansas
game_55|Southern Miss
game_56|Cincinnati
game_57|Murray State
game_58|Lehigh
game_59|Alabama
game_60|Southern Miss
game_61|Lehigh
game_62|Southern Miss
game_63|Lehigh
name|Agustin the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
