game_1|NC A&T/Liberty
game_2|Colorado State
game_3|New Mexico State
game_4|Oklahoma State
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|New Mexico State
game_35|Middle Tenn/St Marys
game_36|Albany
game_37|Wichita State
game_38|Ole Miss
game_39|Belmont
game_40|Iowa State
game_41|North Carolina
game_42|Akron
game_43|UCLA
game_44|Georgetown
game_45|Temple
game_46|Montana
game_47|Marquette
game_48|Miami
game_49|Colorado State
game_50|Middle Tenn/St Marys
game_51|Wichita State
game_52|Belmont
game_53|Akron
game_54|UCLA
game_55|Temple
game_56|Miami
game_57|Colorado State
game_58|Wichita State
game_59|Akron
game_60|Miami
game_61|Wichita State
game_62|Akron
game_63|Akron
name|Dwayne the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
