game_1|NC A&T/Liberty
game_2|Missouri
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Northwestern State
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Marquette
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Saint Louis
game_35|Valparaiso
game_36|Albany
game_37|Southern
game_38|Wisconsin
game_39|Arizona
game_40|Iowa State
game_41|Villanova
game_42|South Dakota State
game_43|Minnesota
game_44|Georgetown
game_45|NC State
game_46|Syracuse
game_47|Marquette
game_48|Pacific
game_49|Saint Louis
game_50|Valparaiso
game_51|Wisconsin
game_52|Arizona
game_53|South Dakota State
game_54|Minnesota
game_55|NC State
game_56|Marquette
game_57|Saint Louis
game_58|Wisconsin
game_59|Minnesota
game_60|NC State
game_61|Wisconsin
game_62|Minnesota
game_63|Wisconsin
name|Hector the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
