game_1|LIU Brooklyn
game_2|Saint Louis
game_3|Louisville
game_4|Long Beach State
game_5|BYU/Iona
game_6|Murray State
game_7|Florida
game_8|Missouri
game_9|Miss Vall St/Western Ky
game_10|Iowa State
game_11|New Mexico State
game_12|Wichita State
game_13|Baylor
game_14|UNLV
game_15|Xavier
game_16|Duke
game_17|Lamar/Vermont
game_18|Creighton
game_19|Ohio
game_20|California/South Florida
game_21|Belmont
game_22|San Diego State
game_23|Purdue
game_24|Detroit
game_25|Syracuse
game_26|Kansas State
game_27|Montana
game_28|Harvard
game_29|St Bonaventure
game_30|Cincinnati
game_31|West Virginia
game_32|Loyola Maryland
game_33|LIU Brooklyn
game_34|Louisville
game_35|BYU/Iona
game_36|Missouri
game_37|Iowa State
game_38|New Mexico State
game_39|UNLV
game_40|Duke
game_41|Creighton
game_42|Ohio
game_43|Belmont
game_44|Detroit
game_45|Syracuse
game_46|Harvard
game_47|Cincinnati
game_48|Loyola Maryland
game_49|Louisville
game_50|Missouri
game_51|New Mexico State
game_52|Duke
game_53|Creighton
game_54|Detroit
game_55|Harvard
game_56|Cincinnati
game_57|Louisville
game_58|New Mexico State
game_59|Creighton
game_60|Cincinnati
game_61|Louisville
game_62|Creighton
game_63|Louisville
name|Brent the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
