game_1|LIU Brooklyn
game_2|Saint Louis
game_3|Louisville
game_4|New Mexico
game_5|BYU/Iona
game_6|Murray State
game_7|Virginia
game_8|Missouri
game_9|Miss Vall St/Western Ky
game_10|Iowa State
game_11|Indiana
game_12|VCU
game_13|South Dakota State
game_14|Colorado
game_15|Notre Dame
game_16|Duke
game_17|Lamar/Vermont
game_18|Creighton
game_19|Ohio
game_20|Temple
game_21|Belmont
game_22|San Diego State
game_23|Saint Marys
game_24|Detroit
game_25|UNC Asheville
game_26|Southern Miss
game_27|Montana
game_28|Harvard
game_29|Florida State
game_30|Cincinnati
game_31|West Virginia
game_32|Ohio State
game_33|LIU Brooklyn
game_34|Louisville
game_35|BYU/Iona
game_36|Missouri
game_37|Iowa State
game_38|Indiana
game_39|South Dakota State
game_40|Duke
game_41|Lamar/Vermont
game_42|Ohio
game_43|Belmont
game_44|Detroit
game_45|UNC Asheville
game_46|Harvard
game_47|Cincinnati
game_48|Ohio State
game_49|LIU Brooklyn
game_50|Missouri
game_51|Indiana
game_52|Duke
game_53|Lamar/Vermont
game_54|Detroit
game_55|Harvard
game_56|Cincinnati
game_57|Missouri
game_58|Indiana
game_59|Lamar/Vermont
game_60|Cincinnati
game_61|Indiana
game_62|Lamar/Vermont
game_63|Indiana
name|Perla the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
