game_1|LIU Brooklyn
game_2|Memphis
game_3|Davidson
game_4|New Mexico
game_5|Marquette
game_6|Murray State
game_7|Florida
game_8|Missouri
game_9|Kentucky
game_10|Connecticut
game_11|Indiana
game_12|Wichita State
game_13|South Dakota State
game_14|Colorado
game_15|Notre Dame
game_16|Duke
game_17|North Carolina
game_18|Alabama
game_19|Ohio
game_20|Temple
game_21|Belmont
game_22|San Diego State
game_23|Saint Marys
game_24|Kansas
game_25|Syracuse
game_26|Kansas State
game_27|Montana
game_28|Harvard
game_29|St Bonaventure
game_30|Texas
game_31|West Virginia
game_32|Loyola Maryland
game_33|LIU Brooklyn
game_34|New Mexico
game_35|Murray State
game_36|Florida
game_37|Connecticut
game_38|Wichita State
game_39|Colorado
game_40|Notre Dame
game_41|North Carolina
game_42|Temple
game_43|Belmont
game_44|Saint Marys
game_45|Syracuse
game_46|Montana
game_47|St Bonaventure
game_48|Loyola Maryland
game_49|LIU Brooklyn
game_50|Florida
game_51|Wichita State
game_52|Notre Dame
game_53|North Carolina
game_54|Belmont
game_55|Syracuse
game_56|Loyola Maryland
game_57|Florida
game_58|Wichita State
game_59|Belmont
game_60|Syracuse
game_61|Florida
game_62|Syracuse
game_63|Syracuse
name|Julian the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
