game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Notre Dame
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Saint Louis
game_35|Valparaiso
game_36|Creighton
game_37|Wichita State
game_38|Wisconsin
game_39|Belmont
game_40|Iona
game_41|North Carolina
game_42|South Dakota State
game_43|UCLA
game_44|Georgetown
game_45|LIU/James Madison
game_46|UNLV
game_47|Marquette
game_48|Pacific
game_49|Colorado State
game_50|Creighton
game_51|Wisconsin
game_52|Iona
game_53|South Dakota State
game_54|UCLA
game_55|UNLV
game_56|Pacific
game_57|Colorado State
game_58|Iona
game_59|UCLA
game_60|UNLV
game_61|Colorado State
game_62|UCLA
game_63|UCLA
name|Javier the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
