game_1|Michigan State
game_2|Memphis
game_3|Louisville
game_4|New Mexico
game_5|BYU/Iona
game_6|Colorado State
game_7|Virginia
game_8|Missouri
game_9|Kentucky
game_10|Iowa State
game_11|New Mexico State
game_12|Wichita State
game_13|South Dakota State
game_14|UNLV
game_15|Notre Dame
game_16|Duke
game_17|Lamar/Vermont
game_18|Creighton
game_19|Michigan
game_20|Temple
game_21|Belmont
game_22|NC State
game_23|Purdue
game_24|Detroit
game_25|UNC Asheville
game_26|Kansas State
game_27|Montana
game_28|Harvard
game_29|Florida State
game_30|Cincinnati
game_31|Gonzaga
game_32|Loyola Maryland
game_33|Memphis
game_34|Louisville
game_35|Colorado State
game_36|Missouri
game_37|Iowa State
game_38|Wichita State
game_39|South Dakota State
game_40|Duke
game_41|Creighton
game_42|Michigan
game_43|NC State
game_44|Purdue
game_45|Kansas State
game_46|Montana
game_47|Cincinnati
game_48|Gonzaga
game_49|Memphis
game_50|Colorado State
game_51|Wichita State
game_52|South Dakota State
game_53|Creighton
game_54|NC State
game_55|Montana
game_56|Cincinnati
game_57|Memphis
game_58|South Dakota State
game_59|Creighton
game_60|Cincinnati
game_61|South Dakota State
game_62|Cincinnati
game_63|South Dakota State
name|Monserrat the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
