game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Albany
game_9|Gonzaga
game_10|Pittsburgh
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|Villanova
game_19|South Dakota State
game_20|Akron
game_21|Florida
game_22|Minnesota
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Middle Tenn/St Marys
game_36|Albany
game_37|Pittsburgh
game_38|Wisconsin
game_39|New Mexico
game_40|Iowa State
game_41|Villanova
game_42|Akron
game_43|Minnesota
game_44|Georgetown
game_45|Temple
game_46|Montana
game_47|Bucknell
game_48|Miami
game_49|Saint Louis
game_50|Middle Tenn/St Marys
game_51|Pittsburgh
game_52|New Mexico
game_53|Akron
game_54|Minnesota
game_55|Montana
game_56|Miami
game_57|Saint Louis
game_58|New Mexico
game_59|Minnesota
game_60|Miami
game_61|Saint Louis
game_62|Miami
game_63|Miami
name|Isabell the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
