game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Valparaiso
game_6|Memphis
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Valparaiso
game_36|Cincinnati
game_37|Gonzaga
game_38|Wisconsin
game_39|Belmont
game_40|Ohio State
game_41|Western Kentucky
game_42|VCU
game_43|UCLA
game_44|Florida GC
game_45|NC State
game_46|California
game_47|Butler
game_48|Colorado
game_49|Colorado State
game_50|Valparaiso
game_51|Gonzaga
game_52|Ohio State
game_53|VCU
game_54|UCLA
game_55|California
game_56|Colorado
game_57|Colorado State
game_58|Ohio State
game_59|UCLA
game_60|Colorado
game_61|Colorado State
game_62|Colorado
game_63|Colorado
name|Kristin the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
