game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Kansas State
game_12|Wisconsin
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Butler
game_31|Colorado
game_32|Pacific
game_33|Colorado State
game_34|Oregon
game_35|Middle Tenn/St Marys
game_36|Duke
game_37|Gonzaga
game_38|Kansas State
game_39|Belmont
game_40|Iona
game_41|Western Kentucky
game_42|VCU
game_43|UCLA
game_44|San Diego State
game_45|LIU/James Madison
game_46|California
game_47|Butler
game_48|Pacific
game_49|Colorado State
game_50|Duke
game_51|Gonzaga
game_52|Belmont
game_53|Western Kentucky
game_54|UCLA
game_55|LIU/James Madison
game_56|Butler
game_57|Colorado State
game_58|Belmont
game_59|UCLA
game_60|Butler
game_61|Colorado State
game_62|Butler
game_63|Butler
name|Larry the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
