game_1|Michigan State
game_2|Memphis
game_3|Davidson
game_4|Long Beach State
game_5|Marquette
game_6|Murray State
game_7|Florida
game_8|Norfolk State
game_9|Miss Vall St/Western Ky
game_10|Iowa State
game_11|Indiana
game_12|VCU
game_13|Baylor
game_14|UNLV
game_15|Notre Dame
game_16|Duke
game_17|North Carolina
game_18|Creighton
game_19|Michigan
game_20|California/South Florida
game_21|Belmont
game_22|NC State
game_23|Saint Marys
game_24|Kansas
game_25|UNC Asheville
game_26|Southern Miss
game_27|Montana
game_28|Vanderbilt
game_29|St Bonaventure
game_30|Cincinnati
game_31|West Virginia
game_32|Ohio State
game_33|Memphis
game_34|Long Beach State
game_35|Murray State
game_36|Norfolk State
game_37|Iowa State
game_38|Indiana
game_39|Baylor
game_40|Notre Dame
game_41|North Carolina
game_42|Michigan
game_43|Belmont
game_44|Saint Marys
game_45|Southern Miss
game_46|Montana
game_47|St Bonaventure
game_48|West Virginia
game_49|Long Beach State
game_50|Murray State
game_51|Iowa State
game_52|Notre Dame
game_53|Michigan
game_54|Belmont
game_55|Montana
game_56|St Bonaventure
game_57|Long Beach State
game_58|Notre Dame
game_59|Belmont
game_60|St Bonaventure
game_61|Long Beach State
game_62|St Bonaventure
game_63|St Bonaventure
name|Elian the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
