game_1|NC A&T/Liberty
game_2|Missouri
game_3|New Mexico State
game_4|Oregon
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Albany
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|Harvard
game_14|Belmont
game_15|Iowa State
game_16|Iona
game_17|Western Kentucky
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Pacific
game_33|Missouri
game_34|Oregon
game_35|Memphis
game_36|Albany
game_37|Southern
game_38|Ole Miss
game_39|Harvard
game_40|Iona
game_41|Western Kentucky
game_42|South Dakota State
game_43|UCLA
game_44|Oklahoma
game_45|Temple
game_46|UNLV
game_47|Davidson
game_48|Illinois
game_49|Missouri
game_50|Memphis
game_51|Ole Miss
game_52|Harvard
game_53|Western Kentucky
game_54|Oklahoma
game_55|Temple
game_56|Illinois
game_57|Missouri
game_58|Harvard
game_59|Western Kentucky
game_60|Illinois
game_61|Missouri
game_62|Western Kentucky
game_63|Missouri
name|Malakai the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
