game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Cincinnati
game_8|Duke
game_9|Southern
game_10|Pittsburgh
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Iona
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|VCU
game_21|Northwestern State
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Montana
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Saint Louis
game_35|Michigan State
game_36|Duke
game_37|Southern
game_38|Wisconsin
game_39|Arizona
game_40|Iona
game_41|Kansas
game_42|Michigan
game_43|UCLA
game_44|Florida GC
game_45|Indiana
game_46|Montana
game_47|Bucknell
game_48|Miami
game_49|Colorado State
game_50|Michigan State
game_51|Southern
game_52|Arizona
game_53|Kansas
game_54|UCLA
game_55|Indiana
game_56|Miami
game_57|Colorado State
game_58|Arizona
game_59|UCLA
game_60|Miami
game_61|Arizona
game_62|UCLA
game_63|Arizona
name|Payton the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
