game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Michigan State
game_6|Memphis
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|North Carolina
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|UCLA
game_23|San Diego State
game_24|Florida GC
game_25|Indiana
game_26|NC State
game_27|Syracuse
game_28|California
game_29|Davidson
game_30|Bucknell
game_31|Illinois
game_32|Miami
game_33|Missouri
game_34|Oklahoma State
game_35|Memphis
game_36|Creighton
game_37|Wichita State
game_38|Ole Miss
game_39|Arizona
game_40|Ohio State
game_41|North Carolina
game_42|South Dakota State
game_43|UCLA
game_44|San Diego State
game_45|NC State
game_46|California
game_47|Davidson
game_48|Illinois
game_49|Oklahoma State
game_50|Creighton
game_51|Wichita State
game_52|Arizona
game_53|South Dakota State
game_54|UCLA
game_55|NC State
game_56|Illinois
game_57|Creighton
game_58|Arizona
game_59|UCLA
game_60|Illinois
game_61|Arizona
game_62|UCLA
game_63|UCLA
name|Tristin the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
