game_1|Louisville
game_2|Missouri
game_3|Saint Louis
game_4|Oklahoma State
game_5|Valparaiso
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Wisconsin
game_13|Harvard
game_14|Arizona
game_15|Iowa State
game_16|Ohio State
game_17|Western Kentucky
game_18|Villanova
game_19|South Dakota State
game_20|VCU
game_21|Florida
game_22|Minnesota
game_23|Oklahoma
game_24|Georgetown
game_25|LIU/James Madison
game_26|NC State
game_27|Montana
game_28|UNLV
game_29|Davidson
game_30|Bucknell
game_31|Colorado
game_32|Pacific
game_33|Louisville
game_34|Oklahoma State
game_35|Valparaiso
game_36|Duke
game_37|Wichita State
game_38|Boise State/La Salle
game_39|Arizona
game_40|Iowa State
game_41|Villanova
game_42|South Dakota State
game_43|Minnesota
game_44|Georgetown
game_45|LIU/James Madison
game_46|Montana
game_47|Bucknell
game_48|Pacific
game_49|Louisville
game_50|Duke
game_51|Boise State/La Salle
game_52|Iowa State
game_53|Villanova
game_54|Georgetown
game_55|LIU/James Madison
game_56|Bucknell
game_57|Duke
game_58|Boise State/La Salle
game_59|Georgetown
game_60|LIU/James Madison
game_61|Boise State/La Salle
game_62|LIU/James Madison
game_63|LIU/James Madison
name|Kadin the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
