game_1|NC A&T/Liberty
game_2|Colorado State
game_3|Saint Louis
game_4|Oregon
game_5|Michigan State
game_6|Middle Tenn/St Marys
game_7|Creighton
game_8|Duke
game_9|Gonzaga
game_10|Wichita State
game_11|Boise State/La Salle
game_12|Ole Miss
game_13|New Mexico
game_14|Belmont
game_15|Iowa State
game_16|Ohio State
game_17|Kansas
game_18|North Carolina
game_19|Michigan
game_20|Akron
game_21|Florida
game_22|UCLA
game_23|Oklahoma
game_24|Florida GC
game_25|LIU/James Madison
game_26|Temple
game_27|Syracuse
game_28|UNLV
game_29|Marquette
game_30|Butler
game_31|Colorado
game_32|Miami
game_33|Colorado State
game_34|Oregon
game_35|Michigan State
game_36|Creighton
game_37|Wichita State
game_38|Boise State/La Salle
game_39|Belmont
game_40|Iowa State
game_41|Kansas
game_42|Michigan
game_43|Florida
game_44|Oklahoma
game_45|Temple
game_46|Syracuse
game_47|Marquette
game_48|Miami
game_49|Colorado State
game_50|Michigan State
game_51|Boise State/La Salle
game_52|Belmont
game_53|Kansas
game_54|Oklahoma
game_55|Temple
game_56|Miami
game_57|Michigan State
game_58|Belmont
game_59|Oklahoma
game_60|Temple
game_61|Belmont
game_62|Oklahoma
game_63|Belmont
name|Noemi the Chimp
location|Neverland Ranch
candybar|Banana Moon Pie
alma_mater|Bonobo U
